 0003401010豊 通 ﾆｭｰﾊﾟｯｸ/ﾚﾝｺﾞｰ(株 089501001160407000016033101    011101000110000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 004940423Q(株 ） フ ク タ カ 　 保 田  089101002000000000000000000    011101000110000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0012904240ア イ コ ー  株 式 会 社    089501001000000000000000000    011101000110000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0016904250（ 株 ） エ ム エ フ エ ス   089301001200608000020060201    021101000110000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0020704320(有 )元 通 コ ー テ ィ ン グ 000101001000000000000000000    021101000111000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0045004330（ 株 ） 五 和 製 作 所     06310100217052500002205310100  021101110110010050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000212                                                           
 0051104340(株 )ア ク ト メ タ ル     000101002000000000022053101    021101110110010050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000212                                                           
 0053005070（ 株 ） 町 井 製 作 所     077101002000000000022053101    021101101110010050505050510101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000212                                                           
 0057205076(株 ) 町 井 製 作 所      000101002000000000000000000    011101101110000050505050510101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000212                                                           
 0016805110東 海 工 業 （ 株 ）       084301001220601000022052701    021101010110010050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000211                                                           
 0018305116東 海 工 業 （ 株 ）       000301001000000000000000000    011101000110000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 004950511Q東 海 工 業 （ 株 ）       084301001000000000000000000    011101010110000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0019505396ト キ ザ ワ 工 業 (株 )    000101001000000000014100601    011101000110000050505050510101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 000710539Qト キ ザ ワ 工 業 (株 )    000101001000000000000000000    011101000110000050505050510101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0059705410㈱ ト ピ ア             000101002211119000000000000    001101001110000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0003306200豊 田 段 ボ ー ル （ 株 ）   000101001000000000000000000    011101000110000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0012606430レ ン ゴ ー （ 株 ）       089501001120419000012041201    010110010100000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0044306450(株 ） ア イ コ ー        089501001220603000022052701    041101000111000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0002806710中 央 紙 器 工 業 （ 株 ）   000101001000000000000000000    011101000110000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0017606790(株 ） カ ン ド リ 工 業    046201002220601000022053001    021101010110000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0003207010前 野 段 ボ ー ル （ 株 ）   000101001000000000000000000    011101000110000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0001907020（ 株 ） チ ュ ー ゲ ン     000101001000000000000000000    011101000110000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0041207070津 田 工 業 （ 株 ）       051101003000000000017013101    011109010110010050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000212                                                           
 0026810850(株 )青 山 製 作 所  ﾄﾖﾀ支 070101002000000000014090901    010100000010010050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000212                                                           
 0017711000計 量                 000101001000000000000000000    010000000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0018211010自 動 プ レ ス           057101001000000000022053001    011001000100000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0018011012自 動 プ レ ス 　 (Ｇ Ｇ )  057101001000000000022053001    011001000100000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0019011013自 動 プ レ ス （ Ｇ Ｋ ）   062101001000000000022053001    011001000100000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0020911014自 動 プ レ ス （ ﾛｯﾄGG）  057101001000000000022053001    011001000100000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0009011015自 動 プ レ ス （ ﾛｯﾄGK）  062101001000000000022053001    011001000100000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0021511017自 動 プ レ ス （ GK）     062101001000000000022053001    011001000100000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0021611020自 動 プ レ ス （ Ｒ Ｍ ）   052101001000000000022053001    011101000100000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0021711030Ｂ ラ イ ン             053101001000000000022053001    011101000100000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0021811040Ｓ ラ イ ン             048101001000000000022053001    011101000100000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0021911050Ｃ ラ イ ン             044101001000000000022053001    011101000100000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0022011060Ｆ ラ イ ン             058101001000000000022053001    011001000100000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0022111061Ｆ ラ イ ン             058101001000000000022053001    011001000100000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0022311062Ｆ ラ イ ン （ Ｆ Ｒ Ｃ ）   058101001000000000022053001    011001000100000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0022411063Ｆ Ｇ ラ イ ン           058101001000000000022053001    011001000100000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0022511064Ｆ Ｆ ラ イ ン           058101001000000000022053001    011001000100000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0022611065Ｆ Ｍ ラ イ ン           058101001000000000022053001    011001000100000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0017911066Ｆ Ｓ ラ イ ン           058101001000000000022053001    011001000100000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0022711067Ｆ Ｂ ラ イ ン           058101001000000000022053001    011001000100000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0022811068Ｆ Ｔ ラ イ ン           058101001000000000022053001    011001000100000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0042511069Ｆ Ｇ Ｗ ラ イ ン         068101001000000000022053001    011001000100000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0022911071ト ソ ー  (GGﾗｲﾝ)      047101001000000000022053001    011001000100000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0023011072ト ソ ー  (GKﾗｲﾝ)      047101001000000000022053001    011011000100000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0023111073ト ソ ー  (Sﾗｲﾝ)       048101001000000000022053001    011101000100000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0023211074ト ソ ー  (Rﾗｲﾝ)       052101001000000000022053001    011101000100000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0023311075ト ソ ー  (Bﾗｲﾝ)       053101001000000000022053001    011101000100000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0023411076ト ソ ー  (Cﾗｲﾝ)       044101001000000000022053001    011101000100000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0023511077ト ソ ー  (Fﾗｲﾝ)       058101001000000000022053001    011101000100000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0023611078ト ソ ー  (Pﾗｲﾝ)       068101001000000000022053001    011101000100000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0051611079ト ソ ー  (MHﾗｲﾝ)      044101001190424000022053001    011101000100000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0051711080Ｍ Ｈ ラ イ ン           044101001190424000022053001    011101000100000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0019411090自 動 プ レ ス  (Ｒ Ｋ ）   052101001000000000022053001    011101000100000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0023911100社 内 ダ ッ シ           049101001000000000022053001    010110000100000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0047211101社 内 ダ ッ シ           049101001000000000000000000    011101000100000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0003911111畔 柳 工 業             000101001000000000000000000    011101000110000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0056611120Ｗ Ｈ ラ イ ン           000101001000000000022053001    001101001110000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0024011130Ｄ ラ イ ン             068101001000000000015100701    011101001110000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0024111180（ 株 ） フ ク タ カ       080104004000000000000000000    011101100110000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0024211190Ｐ ラ イ ン             068101001000000000022053001    011101000100000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0046111191Ｐ ラ イ ン             068101001000000000022053001    011101000100000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0024311300精 密 検 査 係 　 　 　     013101001000000000022053001    010100000000000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0024411310DP2F 検 査 係          013101001000000000022053001    010100000000000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0044911320品 質 保 証 部 (検 査 )    089101001000000000022053101    020100000000000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0052111330Cp 検 査              117101001000000000022053001    010010000100000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0024511400自 動 プ レ ス （ Ｍ Ｔ ）   052101001000000000022053001    010100000000000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0024611500自 動 プ レ ス (ﾛｯﾄGK2)  062101001000000000022053001    011001000100000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0024711600Ｆ ラ イ ン （ ロ ッ ト ）   058101001000000000022053001    010010000100000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0013311700Ｃ ラ イ ン (ア ル ミ )    044101001000000000022053001    011101000100000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0024812050工 程 内 　 Ｃ ラ イ ン     044101001181130000022053001    011101000100000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0013612100Ｓ Ｔ Ｅ Ｐ             000501001000000000000000000    010000000000000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0024913010　 　 　 　 　 　 　 * ｸﾐﾂｹ000101002000000000000000000    010000000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0025013020工 務 調 達 係           094101001000000000022053001    011101000100000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0017513021日 程 3組 (購 入 品 ･指 示 )000101001000000000000000000    020000000000000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0017213022部 品 調 達 （ 購 入 部 品 ） 081101001110510000022053101    021101000000000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0019613023日 程 ３ 組 （ ｺｰﾃｨﾝｸﾞ）  000101001000000000000000000    021001000000000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0020013024生 管 調 達 品 (支 給 )    094101001000000000022053001    021101000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0001113025仕 入 先 管 理 (ｱｰｸ素 材 ) 094101001000000000000000000    021101010101000050505050510101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0041113026発 送 係               000101001000000000000000000    021001000000000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0020513027日 程 二 組 (新 城 -豊 川 ） 000101001000000000000000000    021001000000010050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000212                                                           
 0046813028工 務 日 程 係 　         077101001000000000000000000    021101000100000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0051013029Qｽﾄｱ明 示             000101001000000000000000000    021101001110000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0020113030         ﾍﾟｲﾝﾄ +2.0 000101002000000000000000000    010000000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0027013040          ｼｰﾙ +2.0  000101002000000000000000000    010000000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0048613050セ イ ジ ュ ン           000101001000000000000000000    010100010100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0040213110高 木 運 輸 音 羽 事 業 所   092101001000000000022053001    021101000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0018113114高 木 運 輸 音 羽 ４ Ｆ     000101001000000000000000000    010000000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0025114000               +0.5 000102001000000000000000000    010000000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0018614010                +1.0000101001000000000000000000    010000000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0018714020               +2.0 000101002000000000000000000    010000000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0018814030                +3.0000101003000000000000000000    010000000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0025214040               +4.0 000101004000000000000000000    010000000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0025314050               +5.0 000101005000000000000000000    010000000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0025414060               +6.0 000101006000000000000000000    010000000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0025514070               +7.0 000101007000000000000000000    010000000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0025614080               +8.0 000101008000000000000000000    010000000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0025714100               +10.0000101010000000000000000000    010000000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0056814110              +1.5  000101002000000000000000000    010001000110000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0031414120              +2.5  000101002000000000000000000    010001000110000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0031314130              +3.5  000101002000000000000000000    000001000110000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0025816000               +1.0 000101001000000000000000000    010000000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0020816010(株 )ﾒｲﾄﾞｰ　 ﾄﾖﾀ支 給 品 086201001200521000020051901    011101000100010050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000212                                                           
 0025916020               +2.0 000101002000000000000000000    010000000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0026016030               +3.0 000101003000000000000000000    010000000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0042816040                +0.5000102001000000000000000000    010000000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0008417000客 先 バ ラ ツ キ     +0.5000102001000000000000000000    010000000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0008517010客 先 バ ラ ツ キ     +1.0000101001000000000000000000    010000000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0008617020客 先 バ ラ ツ キ     +2.0000101002000000000000000000    010000000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0008917030客 先 バ ラ ツ キ     +3.0000101003000000000000000000    010000000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0026118000               +0.5 000102001000000000000000000    010000000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0026218010               +1.0 000101001000000000000000000    010000000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0026318020               +2.0 000101002000000000000000000    010000000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0026418030               +3.0 000101003000000000000000000    010000000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0026519000               +1.0 000101001000000000000000000    010000000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0046919001                +0.5000102001000000000000000000    010000000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0026619010               +1.0 000101001000000000000000000    010000000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0026719020               +3.0 000101003000000000000000000    010000000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0000119030日 野 羽 村 　 　 　   +1.0000101001000000000000000000    010000000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0000319040日 野 羽 村         +2.0000101002000000000000000000    010000000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0003519050日 野 羽 村         +3.0000101003000000000000000000    010000000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0009419060日 野 羽 村 　 　 　   +0.5000101001000000000000000000    010000000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0003720000コ ジ マ           +1.0000101001000000000000000000    010000000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0004920010コ ジ マ           +2.0000101002000000000000000000    010000000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0005220020コ ジ マ           +3.0000101003000000000000000000    010000000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0009620030コ ジ マ           +0.5000101001000000000000000000    010000000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0005820100日 野 自 動 車       +1.0000101001000000000000000000    010000000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0005920110日 野 自 動 車       +2.0000101102000000000000000000    010000000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0006020120日 野 自 動 車       +3.0000101003000000000000000000    010000000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0009720130日 野 自 動 車       +0.5000101001000000000000000000    010000000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0006220200デ ン ソ ー         +1.0000101001000000000000000000    010000000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0006720210デ ン ソ ー         +2.0000101002000000000000000000    010000000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0006820220デ ン ソ ー         +3.0000101003000000000000000000    010000000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0009920230デ ン ソ ー         +0.5000101001000000000000000000    010000000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0007220300フ タ バ           +1.0000101001000000000000000000    010000000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0007420310フ タ バ           +2.0000101002000000000000000000    010000000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0007520320フ タ バ           +3.0000101003000000000000000000    010000000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0010020330フ タ バ           +0.5000101001000000000000000000    010000000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0007620400ア イ シ ン         +1.0000101001000000000000000000    010000000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0007820410ア イ シ ン         +2.0000101002000000000000000000    010000000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0008020420ア イ シ ン         +3.0000101003000000000000000000    010000000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0010220430ア イ シ ン         +0.5000101001000000000000000000    010000000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0008120500ハ イ レ ッ ク ス     +1.0000101001000000000000000000    010000000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0008220510ハ イ レ ッ ク ス     +2.0000101002000000000000000000    010000000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0008320520ハ イ レ ッ ク ス     +3.0000101003000000000000000000    010000000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0010520530ハ イ レ ッ ク ス     +0.5000101001000000000000000000    010000000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0010620600重 複 客 先         +1.0000101001000000000000000000    010000000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0011520610重 複 客 先         +2.0000101001000000000000000000    010000000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0011620620重 複 客 先         +3.0000101001000000000000000000    010000000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0011720630重 複 客 先         +0.5000101001000000000000000000    010000000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0042220700Ｋ Ｃ Ｃ           +0.5000102001000000000000000000    010000000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0042320710Ｋ Ｃ Ｃ           +1.0000101001000000000000000000    010000000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0042420720Ｋ Ｃ Ｃ           +2.0000101002000000000000000000    010000000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0021022222太 田 技 研             000101001000000000000000000    011101000110000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0050833333ヌ カ タ 技 研           000101001000000000000000000    010000000000000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0019250000音 羽 4 Ｆ             092101001000000000022053101    020100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0009161050ﾛｯﾄ形 成 か ん ば ん  GG05018104004000000000022053103    010100010100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0013761060ﾛｯﾄ形 成 か ん ば ん  GG06019104004000000000022053103    010100010100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0013861070ﾛｯﾄ形 成 か ん ば ん  GG07020104004000000000022053103    010100010100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0044561079GG07材 料 準 備 指 示     020101001000000000000000000    010000000000000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0013961080ﾛｯﾄ形 成 か ん ば ん  GG08025104004000000000022053103    010100010100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0044461089GG08材 料 準 備 指 示     025101001000000000000000000    010000000000000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0014061090ﾛｯﾄ形 成 か ん ば ん  GG09021104004000000000022053103    010100010100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0044661099GG09材 料 準 備 指 示     021101001000000000000000000    010000000000000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0055861100ﾛｯﾄ形 成 か ん ば ん  GG30118104004200214000022053103    010100010100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0056261110ﾛｯﾄ形 成 か ん ば ん  GG13117104004000000000022053103    010100010100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0037862190ﾛｯﾄ形 成 か ん ば ん  GK19022104004000000000022053103    010100010100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0013062200ﾛｯﾄ形 成 か ん ば ん  GK20023104004000000000022053103    010100010100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0014862210ﾛｯﾄ形 成 か ん ば ん  GK21024104004000000000022053103    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0015262220ﾛｯﾄ形 成 か ん ば ん  GK22026104004000000000022053103    010100010100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0023862230ﾛｯﾄ形 成 か ん ば ん  GK23027104004000000000022053103    010100010100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0026962240ﾛｯﾄ形 成 か ん ば ん  GK24028104004000000000022053103    010100010100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0014462250ﾛｯﾄ形 成 か ん ば ん  GK25029104004000000000022053103    010100010100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
